title,year,kms_raw,price_raw,url,trim,color,steering_side,engine_fuel,vehicle_type,specs_detail
Toyota Land Cruiser 70 Series Facelift 2,2024,0 km,"170,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-land-cruiser-70-series-facelift-2-2024/id/211326/,N/A,White,Left-Hand Drive,"4.2 l, 131 hp, Diesel",Pickup single cab 79,European Specs
Toyota Land Cruiser 70 Series Facelift 2,2024,0 km,"128,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-land-cruiser-70-series-facelift-2-2024/id/211374/,N/A,White,Left-Hand Drive,"4.2 l, 131 hp, Diesel",Pickup single cab 79,European Specs
Toyota Land Cruiser 70 Series Facelift 2,2024,0 km,"145,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-land-cruiser-70-series-facelift-2-2024/id/211339/,N/A,White,Left-Hand Drive,"4.2 l, 128 hp, Diesel",Pickup double cab 79,European Specs
Toyota Land Cruiser 70 Series Facelift 2,2025,0 km,"155,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-land-cruiser-70-series-facelift-2-2025/id/211298/,N/A,White,Left-Hand Drive,"4.2 l, 129 hp, Diesel",SUV 5 dr. 76,N/A
Toyota Land Cruiser 70 Series Facelift 2,2024,0 km,"155,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-land-cruiser-70-series-facelift-2-2024/id/211317/,N/A,White,Left-Hand Drive,"4.2 l, 129 hp, Diesel",SUV 5 dr. 76,N/A
Toyota Land Cruiser 70 Series Facelift 2,2024,0 km,"150,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-land-cruiser-70-series-facelift-2-2024/id/211323/,N/A,White,Left-Hand Drive,"4.2 l, 129 hp, Diesel",SUV 5 dr. 76,GCC Specs
Toyota Land Cruiser 70 Series Facelift 2,2024,0 km,"155,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-land-cruiser-70-series-facelift-2-2024/id/211297/,N/A,White,Left-Hand Drive,"4.2 l, 129 hp, Diesel",SUV 5 dr. 76,N/A
Toyota Land Cruiser 70 Series Facelift 2,2024,0 km,"156,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-land-cruiser-70-series-facelift-2-2024/id/211291/,N/A,White,Left-Hand Drive,"4.2 l, 129 hp, Diesel",SUV 5 dr. 76,European Specs
Toyota Land Cruiser 70 Series Facelift 2,2024,0 km,"140,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-land-cruiser-70-series-facelift-2-2024/id/211348/,N/A,White,Left-Hand Drive,"4.2 l, 128 hp, Diesel",Pickup double cab 79,European Specs
Toyota Land Cruiser 70 Series Facelift 2,2024,0 km,"150,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-land-cruiser-70-series-facelift-2-2024/id/211325/,N/A,White,Left-Hand Drive,"4.2 l, 129 hp, Diesel",SUV 5 dr. 76,N/A
Toyota Land Cruiser 70 Series Facelift 2,2024,0 km,"138,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-land-cruiser-70-series-facelift-2-2024/id/211354/,N/A,White,Left-Hand Drive,"4.2 l, 129 hp, Diesel",SUV 5 dr. 76,N/A
Toyota Land Cruiser 70 Series Facelift 2,2025,0 km,"145,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-land-cruiser-70-series-facelift-2-2025/id/211336/,N/A,White,Left-Hand Drive,"4.2 l, 129 hp, Diesel",SUV 5 dr. 76,N/A
Toyota Land Cruiser 70 Series Facelift 2,2024,0 km,"139,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-land-cruiser-70-series-facelift-2-2024/id/211350/,N/A,White,Left-Hand Drive,"4.2 l, 129 hp, Diesel",SUV 5 dr. 76,GCC Specs
Toyota Land Cruiser 70 Series Facelift 2,2024,0 km,"139,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-land-cruiser-70-series-facelift-2-2024/id/211349/,N/A,White,Left-Hand Drive,"4.2 l, 129 hp, Diesel",SUV 5 dr. 76,N/A
