title,year,kms_raw,price_raw,url,trim,color,steering_side,engine_fuel,vehicle_type,specs_detail
Audi Q7 55 TFSI I (4L) Facelift,2014,"97,000 km","59,000 AED",https://auto.ae/sharjah/sale/car/audi/audi-q7-i-4l-facelift-2014/id/204371/,N/A,White,Left-Hand Drive,"3.0 l, 333 hp, Petrol",SUV 5 dr.,GCC Specs
BMW 4 Series 430i F32/F33/F36,2016,"103,000 km","69,000 AED",https://auto.ae/sharjah/sale/car/bmw/bmw-4-series-f32f33f36-2016/id/204321/,N/A,Silver,Left-Hand Drive,"2.0 l, 252 hp, Petrol",Coupe,GCC Specs
"Mercedes-Benz E-Class 350 V (W213, S213, C238)",2018,"83,000 km","129,000 AED",https://auto.ae/sharjah/sale/car/mercedes-benz/mercedes-benz-e-class-v-w213-s213-c238-2018/id/204365/,N/A,Black,Left-Hand Drive,"3.5 l, 306 hp, Petrol",Coupe-Hardtop,GCC Specs
Land Rover Defender 110 II,2021,"83,000 km","229,750 AED",https://auto.ae/dubai/sale/car/land-rover/land-rover-defender-ii-2021/id/204363/,Trim X-Dynamic SE,Silver,Left-Hand Drive,"3.0 l, 400 hp, Petrol",SUV 5 dr. 110,American Specs
"Mercedes-Benz S-Class 400 Long VI (W222, C217)",2016,"119,000 km","119,000 AED",https://auto.ae/sharjah/sale/car/mercedes-benz/mercedes-benz-s-class-vi-w222-c217-2016/id/204362/,Trim S400,Black,Left-Hand Drive,"3.0 l, 333 hp, Petrol",Sedan,GCC Specs
Rox 01,2025,100 km,"209,750 AED",https://auto.ae/dubai/sale/car/rox/rox-01-2025/id/204358/,Trim Business Lounge,Black,Left-Hand Drive,"1.5 l, 475 hp, Hybrid",SUV 5 dr.,Chinese Specs
"Mercedes-Benz S-Class 500 9G-TRONIC VI (W222, C217)",2016,"124,000 km","149,000 AED",https://auto.ae/sharjah/sale/car/mercedes-benz/mercedes-benz-s-class-vi-w222-c217-2016/id/204360/,N/A,White,Left-Hand Drive,"4.7 l, 456 hp, Petrol",Sedan,GCC Specs
Porsche Macan I,2018,"57,000 km","134,750 AED",https://auto.ae/dubai/sale/car/porsche/porsche-macan-i-2018/id/204354/,Trim Macan,White,Left-Hand Drive,"2.0 l, 252 hp, Petrol",SUV 5 dr.,GCC Specs
JAC JS4,2023,"30,447 km","49,750 AED",https://auto.ae/dubai/sale/car/jac/jac-js4-2023/id/204232/,Trim Luxury,Grey,Left-Hand Drive,"1.5 l, 136 hp, Petrol",SUV 5 dr.,GCC Specs
Audi S3 III (8V) Facelift,2019,"113,000 km","89,000 AED",https://auto.ae/sharjah/sale/car/audi/audi-s3-iii-8v-facelift-2019/id/204355/,N/A,Grey,Left-Hand Drive,"2.0 l, 310 hp, Petrol",Sedan,GCC Specs
Mercedes-Benz A-Class AMG 45 AMG II (W177),2019,"92,000 km","77,000 AED",https://auto.ae/sharjah/sale/car/mercedes-benz/mercedes-benz-a-class-amg-ii-w177-2019/id/204353/,N/A,White,Left-Hand Drive,"2.0 l, 387 hp, Petrol",Hatchback 5 dr.,GCC Specs
BMW X5 40i IV (G05/G18),2021,"100,915 km","179,750 AED",https://auto.ae/dubai/sale/car/bmw/bmw-x5-iv-g05-2021/id/204352/,Trim xDrive40i,Black,Left-Hand Drive,"3.0 l, 340 hp, Petrol",SUV 5 dr.,GCC Specs
Subaru WRX I Facelift,2017,"102,000 km","59,750 AED",https://auto.ae/dubai/sale/car/subaru/subaru-wrx-i-facelift-2017/id/204348/,Trim Premium,Silver,Left-Hand Drive,"2.0 l, 268 hp, Petrol",Sedan,GCC Specs
BMW 5 Series 540i VII (G30/G31),2019,"77,500 km","99,000 AED",https://auto.ae/sharjah/sale/car/bmw/bmw-5-series-vii-g30g31-2019/id/204259/,N/A,Black,Left-Hand Drive,"3.0 l, 340 hp, Petrol",Sedan,GCC Specs
Land Rover Range Rover P510 IV,2016,"118,000 km","119,000 AED",https://auto.ae/sharjah/sale/car/land-rover/land-rover-range-rover-iv-2016/id/204350/,N/A,Black,Left-Hand Drive,"5.0 l, 510 hp, Petrol",SUV 5 dr.,GCC Specs
Land Rover Range Rover Evoque P240 I,2014,"100,000 km","59,000 AED",https://auto.ae/sharjah/sale/car/land-rover/land-rover-range-rover-evoque-i-2014/id/204349/,N/A,Red,Left-Hand Drive,"2.0 l, 240 hp, Petrol",SUV 5 dr.,GCC Specs
Land Rover Range Rover SV IV Facelift,2017,"125,000 km","119,000 AED",https://auto.ae/sharjah/sale/car/land-rover/land-rover-range-rover-iv-facelift-2017/id/204347/,Trim SVAutobiography Dynamic,White,Left-Hand Drive,"5.0 l, 565 hp, Petrol",SUV 5 dr.,GCC Specs
Land Rover Range Rover P550 IV,2015,"98,000 km","109,000 AED",https://auto.ae/sharjah/sale/car/land-rover/land-rover-range-rover-iv-2015/id/204345/,Trim SVAutobiography,White,Left-Hand Drive,"5.0 l, 550 hp, Petrol",SUV 5 dr.,GCC Specs
Land Rover Range Rover P550 IV,2015,"119,000 km","119,000 AED",https://auto.ae/sharjah/sale/car/land-rover/land-rover-range-rover-iv-2015/id/204344/,Trim SVAutobiography,Golden,Left-Hand Drive,"5.0 l, 550 hp, Petrol",SUV 5 dr.,GCC Specs
BMW X5 50i III (F15),2017,"100,600 km","99,000 AED",https://auto.ae/sharjah/sale/car/bmw/bmw-x5-iii-f15-2017/id/204343/,Trim xDrive50i,Golden,Left-Hand Drive,"4.4 l, 450 hp, Petrol",SUV 5 dr.,GCC Specs
Land Rover Range Rover P510 IV,2015,"98,100 km","119,000 AED",https://auto.ae/sharjah/sale/car/land-rover/land-rover-range-rover-iv-2015/id/204341/,N/A,Black,Left-Hand Drive,"5.0 l, 510 hp, Petrol",SUV 5 dr.,GCC Specs
BMW X5 35i III (F15),2017,"78,500 km","99,000 AED",https://auto.ae/sharjah/sale/car/bmw/bmw-x5-iii-f15-2017/id/204340/,N/A,Golden,Left-Hand Drive,"3.0 l, 306 hp, Petrol",SUV 5 dr.,GCC Specs
Land Rover Range Rover Sport P400 MHEV II Facelift,2019,"107,000 km","179,000 AED",https://auto.ae/sharjah/sale/car/land-rover/land-rover-range-rover-sport-ii-facelift-2019/id/204338/,Trim Autobiography DYNAMIC,White,Left-Hand Drive,"3.0 l, 400 hp, Petrol",SUV 5 dr.,GCC Specs
BMW X6 50i II (F16),2016,"160,000 km","99,000 AED",https://auto.ae/sharjah/sale/car/bmw/bmw-x6-ii-f16-2016/id/204337/,Trim xDrive50i,Golden,Left-Hand Drive,"4.4 l, 450 hp, Petrol",SUV 5 dr.,GCC Specs
Rox 01,2025,100 km,"209,750 AED",https://auto.ae/dubai/sale/car/rox/rox-01-2025/id/204329/,Trim Business Lounge,Black,Left-Hand Drive,"1.5 l, 475 hp, Hybrid",SUV 5 dr.,Chinese Specs
Land Rover Range Rover Sport P525 II Facelift,2018,"103,000 km","129,000 AED",https://auto.ae/sharjah/sale/car/land-rover/land-rover-range-rover-sport-ii-facelift-2018/id/204335/,N/A,Black,Left-Hand Drive,"5.0 l, 525 hp, Petrol",SUV 5 dr.,GCC Specs
BMW X5 35i III (F15),2017,"81,000 km","99,000 AED",https://auto.ae/sharjah/sale/car/bmw/bmw-x5-iii-f15-2017/id/204334/,N/A,Brown,Left-Hand Drive,"3.0 l, 306 hp, Petrol",SUV 5 dr.,GCC Specs
Land Rover Range Rover Sport P510e II,2015,"107,000 km","109,000 AED",https://auto.ae/sharjah/sale/car/land-rover/land-rover-range-rover-sport-ii-2015/id/204332/,Trim HSE Dynamic,White,Left-Hand Drive,"5.0 l, 510 hp, Petrol",SUV 5 dr.,GCC Specs
Land Rover Range Rover Sport P400 MHEV II Facelift,2017,"110,000 km","119,000 AED",https://auto.ae/sharjah/sale/car/land-rover/land-rover-range-rover-sport-ii-facelift-2017/id/204330/,N/A,Black,Left-Hand Drive,"3.0 l, 400 hp, Petrol",SUV 5 dr.,GCC Specs
BMW X5 35i III (F15),2017,"81,000 km","99,000 AED",https://auto.ae/sharjah/sale/car/bmw/bmw-x5-iii-f15-2017/id/204327/,N/A,Brown,Left-Hand Drive,"3.0 l, 306 hp, Petrol",SUV 5 dr.,GCC Specs
Porsche Macan I,2018,"57,000 km","134,750 AED",https://auto.ae/dubai/sale/car/porsche/porsche-macan-i-2018/id/204324/,Trim Macan,White,Left-Hand Drive,"2.0 l, 252 hp, Petrol",SUV 5 dr.,GCC Specs
BMW i8 I,2016,"9,800 km","279,000 AED",https://auto.ae/sharjah/sale/car/bmw/bmw-i8-i-2016/id/204325/,N/A,White,Left-Hand Drive,"1.5 l, 362 hp, Hybrid",Coupe,GCC Specs
Land Rover Range Rover Long IV Facelift,2019,"104,000 km","199,000 AED",https://auto.ae/sharjah/sale/car/land-rover/land-rover-range-rover-iv-facelift-2019/id/204323/,N/A,White,Left-Hand Drive,"3.0 l, 400 hp, Petrol",SUV 5 dr.,GCC Specs
BMW X5 35i III (F15),2015,"96,000 km","79,000 AED",https://auto.ae/sharjah/sale/car/bmw/bmw-x5-iii-f15-2015/id/204320/,Trim xDrive35i Luxury,White,Left-Hand Drive,"3.0 l, 306 hp, Petrol",SUV 5 dr.,GCC Specs
Land Rover Range Rover Sport P400 MHEV II Facelift,2018,"103,000 km","103,000 AED",https://auto.ae/sharjah/sale/car/land-rover/land-rover-range-rover-sport-ii-facelift-2018/id/204319/,Trim Autobiography DYNAMIC,Black,Left-Hand Drive,"3.0 l, 400 hp, Petrol",SUV 5 dr.,GCC Specs
BMW X6 35i I (E71),2011,"110,000 km","47,000 AED",https://auto.ae/sharjah/sale/car/bmw/bmw-x6-i-e71-2011/id/204318/,Trim xDrive35i,Red,Left-Hand Drive,"3.0 l, 306 hp, Petrol",SUV 5 dr.,GCC Specs
Land Rover Range Rover Long IV,2016,"118,000 km","118,000 AED",https://auto.ae/sharjah/sale/car/land-rover/land-rover-range-rover-iv-2016/id/204317/,Trim Autobiography,Silver,Left-Hand Drive,"5.0 l, 510 hp, Petrol",SUV 5 dr.,GCC Specs
