iter	Passed	Remaining
882	21866	52426
883	21899	52419
884	21930	52409
885	21961	52400
886	21990	52386
887	22017	52364
888	22042	52342
889	22068	52318
890	22104	52321
891	22137	52315
892	22164	52295
893	22193	52280
894	22220	52261
895	22245	52236
896	22266	52202
897	22287	52169
898	22312	52144
899	22335	52116
900	22358	52087
901	22383	52062
902	22410	52041
903	22441	52032
904	22475	52027
905	22496	51996
906	22519	51967
907	22540	51932
908	22567	51912
909	22594	51892
910	22619	51867
911	22651	51860
912	22680	51845
913	22703	51815
914	22718	51769
915	22743	51744
916	22769	51722
917	22794	51697
918	22818	51671
919	22843	51647
920	22869	51624
921	22899	51610
922	22925	51588
923	22952	51569
924	22975	51540
925	22995	51503
926	23017	51473
927	23041	51446
928	23065	51420
929	23087	51387
930	23114	51367
931	23139	51344
932	23164	51320
933	23192	51301
934	23215	51272
935	23243	51254
936	23268	51229
937	23291	51201
938	23315	51174
939	23340	51149
940	23366	51127
941	23390	51101
942	23420	51087
943	23446	51065
944	23475	51049
945	23505	51037
946	23532	51016
947	23552	50981
948	23576	50953
949	23599	50924
950	23621	50893
951	23648	50874
952	23675	50854
953	23704	50838
954	23730	50815
955	23758	50797
956	23781	50768
957	23804	50740
958	23831	50719
959	23856	50695
960	23884	50677
961	23910	50655
962	23940	50641
963	23964	50614
964	23988	50586
965	24008	50552
966	24033	50526
967	24059	50505
968	24095	50502
969	24127	50492
970	24154	50474
971	24179	50447
972	24197	50408
973	24219	50379
974	24241	50348
975	24265	50321
976	24292	50299
977	24321	50284
978	24355	50277
979	24400	50295
980	24424	50269
981	24454	50254
982	24480	50231
983	24511	50219
984	24546	50214
985	24580	50208
986	24609	50192
987	24641	50180
988	24668	50160
989	24698	50145
990	24740	50155
991	24770	50140
992	24799	50123
993	24827	50104
994	24869	50113
995	24917	50136
996	24969	50164
997	25000	50151
998	25029	50134
999	25059	50119
1000	25086	50098
1001	25114	50078
1002	25141	50058
1003	25170	50039
1004	25197	50018
1005	25223	49996
1006	25246	49966
1007	25270	49938
1008	25295	49914
1009	25320	49888
1010	25347	49867
1011	25375	49848
1012	25402	49827
1013	25411	49771
1014	25438	49749
1015	25466	49729
1016	25487	49696
1017	25514	49675
1018	25541	49654
1019	25579	49654
1020	25615	49650
1021	25649	49642
1022	25681	49630
1023	25709	49611
1024	25734	49586
1025	25758	49558
1026	25783	49532
1027	25810	49512
1028	25843	49501
1029	25874	49488
1030	25904	49473
1031	25931	49450
1032	25958	49428
1033	25979	49396
1034	26004	49370
1035	26028	49344
1036	26068	49347
1037	26103	49340
1038	26130	49317
1039	26156	49294
1040	26180	49267
1041	26214	49259
1042	26258	49269
1043	26294	49264
1044	26332	49263
1045	26373	49268
1046	26398	49241
1047	26421	49212
1048	26447	49188
1049	26475	49168
1050	26509	49159
1051	26549	49162
1052	26583	49152
1053	26617	49144
1054	26647	49127
1055	26684	49124
1056	26715	49108
1057	26748	49098
1058	26787	49097
1059	26818	49082
1060	26848	49066
1061	26884	49059
1062	26916	49046
1063	26946	49029
1064	26977	49016
1065	27012	49008
1066	27049	49002
1067	27085	48998
1068	27122	48993
1069	27158	48987
1070	27193	48979
1071	27225	48965
1072	27254	48947
1073	27279	48919
1074	27316	48915
1075	27360	48924
1076	27392	48910
1077	27419	48886
1078	27447	48865
1079	27471	48838
1080	27498	48815
1081	27522	48788
