kms,vehicle_age,kms_per_year,horsepower_mid,engine_cc_mid,doors,cylinders,seating_capacity,brand,model,trim,fuel_type,body_type,steering_side,regional_specs,age_bucket,log_price
80000,4,20000.0,349.5,3249.5,5+ doors,6,7 Seater,Mitsubishi,Montero Sport,GLS 4WD Top Line,Petrol,SUV,Left Hand,GCC Specs,4-6,11.277215789596893
27311,4,6827.75,449.5,3249.5,2 door,6,4 Seater,Porsche,Carrera / 911,Carrera 4S,Petrol,Soft Top Convertible,Left Hand,European Specs,4-6,13.303018546545276
14101,7,2014.4285714285716,149.5,1749.5,5+ doors,4,5 Seater,Peugeot,208,Active,Petrol,Hatchback,Left Hand,GCC Specs,7-10,10.038935856711175
118000,11,10727.272727272728,249.5,3749.5,5+ doors,6,5 Seater,Jeep,Wrangler Unlimited,1941 Edition,Petrol,SUV,Left Hand,GCC Specs,10+,11.082157933374816
332000,14,23714.285714285717,249.5,3249.5,5+ doors,6,7 Seater,Mitsubishi,Pajero,GLS,Petrol,SUV,Left Hand,GCC Specs,10+,9.90353755128617
24900,1,24900.0,449.5,4000.0,4 door,8,5 Seater,BMW,X5,M60i,Petrol,SUV,Left Hand,GCC Specs,0-1,13.005831808336865
77537,5,15507.4,249.5,2249.5,4 door,4,4 Seater,BMW,5-Series,520i,Petrol,Sedan,Left Hand,Korean Specs,4-6,11.502885230075814
170000,10,17000.0,249.5,2249.5,4 door,4,5 Seater,Toyota,Hilux,Double Cab DLS,Petrol,SUV,Left Hand,GCC Specs,7-10,11.141876276228
130000,11,11818.181818181818,249.5,2249.5,5+ doors,4,5 Seater,Honda,CR-V,EX-L,Petrol,SUV,Left Hand,GCC Specs,10+,10.55843949396453
29560,3,9853.333333333334,349.5,2749.5,4 door,4,5 Seater,Toyota,Crown,Platinum,Hybrid,Sedan,Left Hand,GCC Specs,2-3,11.982310152711182
16982,4,4245.5,449.5,249.5,4 door,Unknown,5 Seater,Tesla,Model 3,Performance,Electric,Sedan,Left Hand,GCC Specs,4-6,11.648338835562749
49000,18,2722.222222222222,649.5,4000.0,2 door,8,2 Seater,Mercedes-Benz,SLR,SLR Roadster,Petrol,Soft Top Convertible,Left Hand,Other,10+,14.580978865220017
92000,6,15333.333333333334,449.5,4000.0,4 door,8,4 Seater,Ford,Mustang,GT,Petrol,Coupe,Left Hand,American Specs,4-6,11.225256725762891
14896,2,7448.0,349.5,,5+ doors,Unknown,5 Seater,BMW,iX,xDrive40,Electric,SUV,Left Hand,GCC Specs,2-3,12.524530013005734
180000,12,15000.0,549.5,4000.0,4 door,8,4 Seater,Land Rover,Range Rover,Supercharged,Petrol,SUV,Left Hand,GCC Specs,10+,10.915106645867503
36000,6,6000.0,549.5,3749.5,2 door,8,4 Seater,Bentley,Continental,GT,Petrol,Coupe,Left Hand,GCC Specs,4-6,13.014780393893403
3000,3,1000.0,649.5,4000.0,5+ doors,8,4 Seater,Mercedes-Maybach,GLS-Class,GLS 600,Petrol,SUV,Left Hand,Other,2-3,13.457407451830088
7700,1,7700.0,249.5,2249.5,5+ doors,4,5 Seater,Exeed,TXL,Luxury,Petrol,SUV,Left Hand,GCC Specs,0-1,11.289781913656018
110000,7,15714.285714285714,249.5,2249.5,4 door,4,7 Seater,Toyota,Avanza,G,Petrol,SUV,Left Hand,GCC Specs,7-10,10.275085591132717
76000,6,12666.666666666666,449.5,2249.5,5+ doors,4,7 Seater,Mercedes-Benz,GLE-Class,GLE 350,Petrol,SUV,Left Hand,American Specs,4-6,11.580593459194764
179000,12,14916.666666666666,449.5,4000.0,5+ doors,8,7 Seater,Lexus,GX 460,Premier,Petrol,SUV,Left Hand,GCC Specs,10+,11.283524879179666
18134,2,9067.0,249.5,,5+ doors,Unknown,5 Seater,Mercedes-Benz,EQA,350 4Matic,Electric,SUV,Left Hand,GCC Specs,2-3,11.951186847493476
