brand,model,kms,trim,doors,fuel_type,cylinders,body_type,seating_capacity,steering_side,regional_specs,vehicle_age,horsepower_mid,engine_cc_mid,kms_per_year,log_price,age_bucket
Lexus,RX-Series,35000,Platinum,4 door,Hybrid,4,SUV,5 Seater,Left Hand,Other,2,249.5,1749.5,17500.0,12.128116509451258,2-3
Mercedes-Benz,C-Class,179000,C300,4 door,Petrol,4,Coupe,5 Seater,Left Hand,GCC Specs,9,349.5,2249.5,19888.88888888889,11.082157933374816,7-10
Rolls-Royce,Phantom,91000,Other,4 door,Petrol,12,Sedan,5 Seater,Left Hand,GCC Specs,18,649.5,4000.0,5055.555555555556,12.574185427296197,10+
BMW,5-Series,68129,528i,4 door,Petrol,6,Sedan,5 Seater,Left Hand,Japanese Specs,16,,2749.5,4258.0625,10.757924157061597,10+
Lexus,IS-Series,151000,IS 250 F Sport,4 door,Petrol,6,Sedan,5 Seater,Left Hand,American Specs,11,249.5,2249.5,13727.272727272728,10.799595985047786,10+
Porsche,Cayenne,23500,Coupe,5+ doors,Petrol,6,Coupe,5 Seater,Left Hand,GCC Specs,2,349.5,3249.5,11750.0,12.959846800844964,2-3
Rolls-Royce,Cullinan,0,Black Badge,4 door,Petrol,12,SUV,4 Seater,Left Hand,European Specs,3,,4000.0,0.0,14.508658238524095,2-3
Mitsubishi,Pajero,238000,Other,4 door,Petrol,6,SUV,7 Seater,Left Hand,GCC Specs,19,,,12526.315789473685,9.61587214452889,10+
Kia,Rio,123000,Other,5+ doors,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,10,249.5,1749.5,12300.0,9.770013301136158,7-10
Mercedes-Benz,GLS-Class,200000,GLS 550,5+ doors,Petrol,8,SUV,7 Seater,Left Hand,GCC Specs,9,449.5,4000.0,22222.222222222223,11.050905878263567,7-10
Porsche,Panamera,227000,4S,4 door,Petrol,6,Sports Car,5 Seater,Left Hand,GCC Specs,14,449.5,4000.0,16214.285714285714,10.545367754151744,10+
Nissan,Rogue,14912,Platinum,5+ doors,Petrol,3,SUV,5 Seater,Left Hand,American Specs,3,149.5,1749.5,4970.666666666667,11.39640288460621,2-3
Mercedes-Benz,E-Class,114000,E400,2 door,Petrol,6,Coupe,4 Seater,Left Hand,American Specs,8,249.5,,14250.0,11.350418300109132,7-10
Ferrari,F8 Tributo,9302,Other,2 door,Petrol,8,Coupe,2 Seater,Left Hand,GCC Specs,6,749.5,3749.5,1550.3333333333333,13.647093089770562,4-6
Jeep,Wrangler,73549,Sport,5+ doors,Petrol,6,SUV,5 Seater,Left Hand,GCC Specs,9,249.5,3749.5,8172.111111111111,11.461537429252754,7-10
Kia,Sportage,86000,EX,4 door,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,8,249.5,1249.5,10750.0,10.545367754151743,7-10
Aston Martin,DB11,10000,V8 Volante,2 door,Petrol,8,Soft Top Convertible,4 Seater,Left Hand,American Specs,4,549.5,4000.0,2500.0,13.197472705176985,4-6
Mitsubishi,Outlander,130000,GLS,4 door,Petrol,6,Crossover,7 Seater,Left Hand,GCC Specs,10,249.5,3249.5,13000.0,10.518700218288165,7-10
Lamborghini,Urus,7000,Performante,4 door,Petrol,8,SUV,4 Seater,Left Hand,European Specs,4,649.5,4000.0,1750.0,13.75257182315256,4-6
Volkswagen,Golf,50,R,4 door,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,1,349.5,2249.5,50.0,12.148978347281837,0-1
Mitsubishi,Pajero,135000,GLS,4 door,Petrol,6,SUV,7 Seater,Left Hand,GCC Specs,11,249.5,,12272.727272727272,10.184937747111391,10+
Land Rover,Range Rover,50132,Vogue SE,5+ doors,Petrol,8,SUV,5 Seater,Left Hand,GCC Specs,8,549.5,4000.0,6266.5,12.34390228743205,7-10
Mercedes-Benz,GLC Coupe,316,GLC 300e 4MATIC,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,1,149.5,2249.5,316.0,12.627742412734824,0-1
