brand,model,kms,trim,doors,fuel_type,cylinders,body_type,seating_capacity,steering_side,regional_specs,vehicle_age,horsepower_mid,engine_cc_mid,kms_per_year,age_bucket,price_aed
Alfa Romeo,GIULIETTA,74435,Veloce,4 door,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,8,249.5,1749.5,9304.375,7-10,34500.0
Alfa Romeo,Giulia,19186,Veloce,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,2,249.5,2249.5,9593.0,2-3,159000.0
Alfa Romeo,Giulia,39000,Veloce,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,7,249.5,2249.5,5571.428571428572,7-10,109000.0
Alfa Romeo,GIULIETTA,80611,Veloce,5+ doors,Petrol,4,Hatchback,4 Seater,Left Hand,GCC Specs,5,249.5,1749.5,16122.2,4-6,30000.0
Alfa Romeo,GIULIETTA,39000,Veloce,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,5,249.5,1749.5,7800.0,4-6,42000.0
Alfa Romeo,Giulia,45000,Super,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,6,249.5,2249.5,7500.0,4-6,65000.0
Alfa Romeo,Stelvio,48000,Quadrifoglio,4 door,Petrol,6,SUV,5 Seater,Left Hand,GCC Specs,6,349.5,3749.5,8000.0,4-6,205000.0
Alfa Romeo,Giulia,17631,Quadrifoglio,4 door,Petrol,6,Sedan,5 Seater,Left Hand,GCC Specs,2,549.5,2749.5,8815.5,2-3,329000.0
Alfa Romeo,Giulia,6809,Estrema,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,3,249.5,1749.5,2269.6666666666665,2-3,199000.0
Alfa Romeo,Giulia,20370,Veloce,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,2,249.5,2249.5,10185.0,2-3,159000.0
Alfa Romeo,Giulia,20344,Veloce,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,2,249.5,2249.5,10172.0,2-3,159000.0
Alfa Romeo,8C,14100,Competizione,2 door,Petrol,8,Coupe,2 Seater,Left Hand,Japanese Specs,17,449.5,4000.0,829.4117647058823,10+,1281200.0
Alfa Romeo,GIULIETTA,56000,Turbo Full,4 door,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,7,249.5,2249.5,8000.0,7-10,28000.0
Alfa Romeo,Tonale,9473,Veloce,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,2,249.5,1749.5,4736.5,2-3,149900.0
Alfa Romeo,Stelvio,27771,Quadrifoglio,5+ doors,Petrol,6,SUV,5 Seater,Left Hand,GCC Specs,2,549.5,2749.5,13885.5,2-3,399900.0
Alfa Romeo,145/146/147,165000,TOP,2 door,Petrol,6,Hatchback,4 Seater,Left Hand,Japanese Specs,21,249.5,3249.5,7857.142857142857,10+,35000.0
Alfa Romeo,GIULIETTA,172000,Distinctive,4 door,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,13,149.5,,13230.76923076923,10+,15500.0
Alfa Romeo,Stelvio,89000,Other,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,6,249.5,,14833.333333333334,4-6,74999.0
Alfa Romeo,GIULIETTA,103000,Turbo Basic,5+ doors,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,11,149.5,2249.5,9363.636363636364,10+,18000.0
Alfa Romeo,GIULIETTA,314000,Turbo Basic,5+ doors,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,12,249.5,1749.5,26166.666666666668,10+,18000.0
Alfa Romeo,Giulia,124000,Super,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,8,249.5,2249.5,15500.0,7-10,49999.0
Alfa Romeo,Stelvio,82000,S,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,7,249.5,2249.5,11714.285714285714,7-10,79000.0
Alfa Romeo,GIULIETTA,55000,Veloce,5+ doors,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,6,249.5,2249.5,9166.666666666666,4-6,49999.0
Alfa Romeo,Tonale,38000,Other,4 door,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,2,249.5,,19000.0,2-3,124999.0
Alfa Romeo,Giulia,62170,Quadrifoglio,4 door,Petrol,6,Sedan,5 Seater,Left Hand,GCC Specs,6,549.5,2749.5,10361.666666666666,4-6,205000.0
Alfa Romeo,Stelvio,77000,Veloce,4 door,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,3,249.5,2249.5,25666.666666666668,2-3,139000.0
Alfa Romeo,GIULIETTA,80500,Veloce,4 door,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,5,249.5,1749.5,16100.0,4-6,49000.0
Alfa Romeo,Brera,88000,Top,2 door,Petrol,6,Coupe,4 Seater,Left Hand,European Specs,20,349.5,3249.5,4400.0,10+,35000.0
Alfa Romeo,Spider,134000,Sport,2 door,Petrol,4,Soft Top Convertible,2 Seater,Left Hand,American Specs,40,149.5,,3350.0,10+,75000.0
Alfa Romeo,GIULIETTA,64484,Veloce,5+ doors,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,5,249.5,1749.5,12896.8,4-6,55000.0
Alfa Romeo,Giulia,43892,Quadrifoglio,4 door,Petrol,6,Sedan,5 Seater,Left Hand,GCC Specs,5,549.5,2749.5,8778.4,4-6,249000.0
Alfa Romeo,156/159,140000,TOP,4 door,Petrol,6,Sports Car,5 Seater,Left Hand,Japanese Specs,24,349.5,2749.5,5833.333333333333,10+,17000.0
Alfa Romeo,Stelvio,90000,Quadrifoglio,5+ doors,Petrol,6,SUV,5 Seater,Left Hand,GCC Specs,8,549.5,2749.5,11250.0,7-10,144999.0
Alfa Romeo,GIULIETTA,64000,Turbo Full,4 door,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,5,249.5,2249.5,12800.0,4-6,38000.0
Alfa Romeo,Tonale,35867,Veloce,4 door,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,2,249.5,2249.5,17933.5,2-3,129000.0
Alfa Romeo,GIULIETTA,172000,Veloce,4 door,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,11,149.5,1749.5,15636.363636363636,10+,22500.0
Alfa Romeo,GIULIETTA,91000,Turbo Full,5+ doors,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,7,249.5,2249.5,13000.0,7-10,31000.0
Alfa Romeo,8C,13,Spider,2 door,Petrol,8,Soft Top Convertible,2 Seater,Left Hand,European Specs,16,449.5,4000.0,0.8125,10+,1582000.0
Alfa Romeo,GIULIETTA,133000,Veloce,4 door,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,6,249.5,1749.5,22166.666666666668,4-6,29999.0
Alfa Romeo,Giulia,119000,Veloce,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,8,249.5,2249.5,14875.0,7-10,67000.0
Alfa Romeo,Stelvio,229,Veloce,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,Other,3,249.5,2249.5,76.33333333333333,2-3,180000.0
Alfa Romeo,Stelvio,40000,Veloce,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,3,249.5,2249.5,13333.333333333334,2-3,129000.0
Ashok Leyland,GAZL,0,Other,2 door,Diesel,4,Other,,Left Hand,GCC Specs,1,,3249.5,0.0,0-1,140000.0
Ashok Leyland,Falcon,72150,63 Seats,3 door,Diesel,6,Other,8+ Seater,Left Hand,GCC Specs,2,,,36075.0,2-3,220000.0
Ashok Leyland,Oyster,229659,Other,2 door,Diesel,4,Pick Up Truck,8+ Seater,Left Hand,GCC Specs,7,149.5,4000.0,32808.42857142857,7-10,87000.0
Ashok Leyland,Oyster,80000,Other,2 door,Diesel,6,Other,8+ Seater,Left Hand,GCC Specs,5,149.5,4000.0,16000.0,4-6,110000.0
Ashok Leyland,Oyster,204977,Other,5+ doors,Diesel,Unknown,Other,8+ Seater,Left Hand,GCC Specs,5,149.5,4000.0,40995.4,4-6,110000.0
