brand,model,kms,trim,doors,fuel_type,cylinders,body_type,seating_capacity,steering_side,regional_specs,vehicle_age,horsepower_mid,engine_cc_mid,kms_per_year,log_price,age_bucket,raw_price
Alfa Romeo,Tonale,38000,Other,4 door,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,2,249.5,,19000.0,11.736069016284436,2-3,124998
Alfa Romeo,Giulia,62170,Quadrifoglio,4 door,Petrol,6,Sedan,5 Seater,Left Hand,GCC Specs,6,549.5,2749.5,10361.666666666666,12.230770136157428,4-6,205000
Alfa Romeo,Stelvio,77000,Veloce,4 door,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,3,249.5,2249.5,25666.666666666668,11.842236406331557,2-3,139000
Alfa Romeo,GIULIETTA,80500,Veloce,4 door,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,5,249.5,1749.5,16100.0,10.799595985047786,4-6,49000
Alfa Romeo,Brera,88000,Top,2 door,Petrol,6,Coupe,4 Seater,Left Hand,European Specs,20,349.5,3249.5,4400.0,10.463131911491969,10+,35000
Alfa Romeo,Spider,134000,Sport,2 door,Petrol,4,Soft Top Convertible,2 Seater,Left Hand,American Specs,40,149.5,,3350.0,11.225256725762891,10+,74999
Alfa Romeo,GIULIETTA,64484,Veloce,5+ doors,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,5,249.5,1749.5,12896.8,10.915106645867503,4-6,55000
Alfa Romeo,Giulia,43892,Quadrifoglio,4 door,Petrol,6,Sedan,5 Seater,Left Hand,GCC Specs,5,549.5,2749.5,8778.4,12.425212191503038,4-6,249000
Alfa Romeo,Stelvio,90000,Quadrifoglio,5+ doors,Petrol,6,SUV,5 Seater,Left Hand,GCC Specs,8,549.5,2749.5,11250.0,11.884489021402713,7-10,144999
Alfa Romeo,GIULIETTA,64000,Turbo Full,4 door,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,5,249.5,2249.5,12800.0,10.545367754151744,4-6,38000
Alfa Romeo,Tonale,35867,Veloce,4 door,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,2,249.5,2249.5,17933.5,11.767575435251748,2-3,129000
Alfa Romeo,GIULIETTA,172000,Veloce,4 door,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,11,149.5,1749.5,15636.363636363636,10.021315031649332,10+,22500
Alfa Romeo,GIULIETTA,91000,Turbo Full,5+ doors,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,7,249.5,2249.5,13000.0,10.34177474101152,7-10,31000
